"X1" "X2" "X3" "X4" "X5" "Y"
"1" 20.7 33.8333333333333 22.89 32.9 764.7 50
"2" 16.2 43.9666666666667 15.19 43.26 769.933333333333 130
"3" 19.1 38.1633333333333 20.29 35.79 751 130
"4" 20.8566666666667 33.3333333333333 20.89 34.5 756.375 50
"5" 19.5333333333333 39.0266666666667 19.5 37.1725 755.2 50
"6" 19.73 37.1266666666667 20.29 36.59 756.066666666667 90
"7" 18.2 41.59 19.2 38.2 759.6 40
"8" 18.89 38.9333333333333 21.79 33.4333333333333 766.7 50
"9" 22.1333333333333 37.26 22.6 38.26 760.433333333333 140
"10" 23.5414285714286 36.4571428571429 23.5 38.4 755.833333333333 70
"11" 19.76 35.9633333333333 21 32.1933333333333 763.533333333333 60
"12" 20 40 21.1 39.9333333333333 763.35 30
"13" 18.6 36.4 19.3566666666667 35 766.566666666667 70
"14" 18.89 39.6933333333333 21.89 33.6633333333333 766.6 70
"15" 18.29 36 19 33.5 754.65 40
"16" 20.5 37.7 21.29 37.6933333333333 745.766666666667 50
"17" 18.2 40.0666666666667 19.5 36.4666666666667 759.733333333333 90
"18" 22.4266666666667 39.03 18.4633333333333 43.26 749.866666666667 50
"19" 20.1666666666667 42.3 20.39 36.79 756.383333333333 120
"20" 21.89 35.73 21.76 35.4 756.4 40
"21" 20.5 41.5 21.6666666666667 42.6266666666667 753.466666666667 400
"22" 20.2 47 21.5333333333333 43.09 748.9 50
"23" 20.2 36.29 20.29 35.4 754.2 110
"24" 18.79 44.3633333333333 20.29 38.5 751.833333333333 50
"25" 17.73 39.7 20.29 37.26 747.8 70
"26" 17.89 46.2 17.7 46.7 764.05 50
"27" 21.5666666666667 42.79 21.39 45.26 758.5 40
"28" 20.8566666666667 42.73 19.6666666666667 42.1333333333333 730.7 160
"29" 24.5 48.236 25.39 45.674 744.733333333333 80
"30" 21.0428571428571 36.8057142857143 23.9266666666667 33 760.7 50
"31" 19.3566666666667 39.1566666666667 20.39 38 756.6 30
"32" 18.79 38.3266666666667 21.6666666666667 34.76 753.133333333333 90
"33" 18.5666666666667 43.4 20.6 38.5 753.95 60
"34" 20.29 38.7233333333333 21.7 33.59 764.033333333333 110
"35" 18.9633333333333 38.6266666666667 20.9266666666667 36.09 755.5 60
"36" 18.5 40.76 21.2633333333333 38.2966666666667 746.65 70
"37" 20.6666666666667 45.6633333333333 21.1 44 748.5 60
"38" 21.3925 40.67 21.2 39.39 740.8 130
"39" 22.2 44 19.89 50.3175 753.233333333333 130
"40" 18.23 39.4 19.23 35.73 772.233333333333 270
"41" 19 45.045 16.39 47.59 752.4 60
"42" 16.5 42.6266666666667 15.39 41.7 765.233333333333 30
"43" 17.4633333333333 38.9933333333333 16.2 36.59 760.783333333333 340
"44" 23.3566666666667 40.6266666666667 25.29 39.7 752.466666666667 60
"45" 19.5 39.3966666666667 19.26 37.2966666666667 740.7 90
"46" 25.29 36 23.39 39.9 753.5 50
"47" 20.5 40.3266666666667 21.39 38.3633333333333 750.95 140
"48" 21.0333333333333 41.4333333333333 20.29 42.845 742.7 50
"49" 18.39 38.8266666666667 19.8566666666667 35.06 768.15 60
"50" 20.39 39.9333333333333 20 38.79 755.066666666667 60
"51" 18.29 41.5 19 38.1633333333333 758 40
"52" 25.1666666666667 27.3233333333333 23.1 32.59 766.65 60
"53" 16.39 42.9 15.39 42.09 766.166666666667 20
"54" 16.7 36.5 16.6 35.79 760.3 50
"55" 20 41.4333333333333 22.2 38.1633333333333 760.133333333333 50
"56" 18.8233333333333 37.09 18.5 35.7 755.466666666667 30
"57" 19.29 41.3633333333333 21.29 37.2 756.633333333333 50
"58" 20.1 48.2333333333333 21.2 39.8266666666667 751.3 160
"59" 21.79 37.79 22.5 38.5183333333333 747.1 90
"60" 18.1 39.5 20.1 34.59 761.7 40
"61" 21.76 37.4 20.6 39.26 751.133333333333 50
"62" 21.79 43.2 20 47.5 760.7 60
"63" 22.1 34.93 22.89 33.59 757.366666666667 50
"64" 18 40.1633333333333 20.29 34.29 764.833333333333 70
"65" 19.5 34 19.5 33.26 757.3 60
"66" 21.3566666666667 37.8266666666667 20.2 40.4666666666667 755.5 100
"67" 19.6666666666667 37.7 22.29 32.86 763.1 70
"68" 20.5 43.678 23 37.7 761.033333333333 160
"69" 20.29 32.8266666666667 21 31.5666666666667 764.8 50
"70" 21.89 44.49 21.3233333333333 44.79 749.9 470
"71" 18.89 41.6266666666667 18.79 41.1633333333333 734.45 60
"72" 19.9633333333333 38.5666666666667 19.7 34.2 761.5 120
"73" 17.5 39.7233333333333 21.5333333333333 33.7 746.666666666667 120
"74" 18.5666666666667 40 21.2675 36.10875 748.85 60
"75" 18.76 39.93 19.73 36.9 759.466666666667 60
"76" 18.7 38.1266666666667 21.2 32.4 758.216666666667 60
"77" 18.7 40.1633333333333 20 35 761.9 50
"78" 21.2 40 21.5 38.7233333333333 751.366666666667 100
"79" 18.79 37.6633333333333 20.6666666666667 34.2 765.6 20
"80" 20.5 41.79 18.89 42.6266666666667 746.3 60
"81" 20.3566666666667 42.3266666666667 21.39 42.59 739.95 370
"82" 23.1 44.036 24.89 43 756.066666666667 70
"83" 20.89 40.05 20.5 38.59 750.266666666667 80
"84" 21.39 38.6333333333333 21.5 37.79 752.5 50
"85" 19.5 43.8266666666667 16.6666666666667 45.79 762.216666666667 110
"86" 17.7 43 17.5 40.29 754.3 40
"87" 19.89 35.6266666666667 20.39 34.79 742.3 80
"88" 17.2633333333333 39.8 19.73 32.29 766 160
"89" 19.39 42.23 20.89 37 755.85 20
"90" 20.9633333333333 38.6566666666667 21.5333333333333 39.4633333333333 765.15 90
"91" 18.79 35.7 19.1333333333333 33.4 754.1 50
"92" 17.79 41 20.8233333333333 36.36 754.35 40
"93" 18.39 44.06 19.79 38.7 753.616666666667 370
"94" 18.1 44.29 20.1 37.9 752.25 50
"95" 21.1 37.8266666666667 22.8328571428571 34.8371428571429 760.033333333333 70
"96" 18.5 46.745 18.2 48 755.35 40
"97" 20.5 36.8266666666667 20 37.76 759.3 610
"98" 18.79 40.09 21.956 33.856 763.15 30
"99" 19.6 44.6633333333333 22 39.7 751.6 50
"100" 20.2 38.3266666666667 19.89 39.4 758.85 700
"101" 19.7 39.8633333333333 20.6333333333333 39.53 751.6 80
"102" 18 41.5 18.29 42.1266666666667 751.55 40
"103" 20.2 34.76 20.39 35.03 757.666666666667 50
"104" 19.5 38.1633333333333 18.89 35.7 760.3 240
"105" 26.3566666666667 29.9966666666667 24.29 35.4666666666667 753.75 80
"106" 21 39.2257142857143 23.2225 36.8175 760.55 50
"107" 19.7266666666667 43.33 20.79 39.09 752.566666666667 60
"108" 22.4633333333333 31.86 22.865 32.7 764.7 130
"109" 20.7 42.26 20.1333333333333 43.53 738.766666666667 40
"110" 21.8233333333333 35.4666666666667 22.89 33.8633333333333 757.3 50
"111" 18.79 39.73 21.1666666666667 37.9 769.4 20
"112" 22.0666666666667 50.2 23.39 45.4 755.1 60
"113" 21.7 43.79 20.2 48.4 761.8 30
"114" 21.23 42.6266666666667 22.79 37.5 751.3 180
"115" 21.2 45.79 20.29 49.2 758.7 40
"116" 18.2 46.6333333333333 21.4266666666667 38.6933333333333 754.033333333333 80
"117" 19.4266666666667 39.4 20.89 34.79 766.616666666667 60
"118" 19.79 37.5814285714286 19.1 35.3685714285714 739.266666666667 70
"119" 20.89 44 19.6333333333333 47.03 754.6 40
"120" 19.6633333333333 36.6633333333333 20.5666666666667 35.1633333333333 769.7 100
"121" 19.9266666666667 43.2 18.39 44.7 762.3 30
"122" 22.456 42.79 23.79 41.93 748.4 290
"123" 20.9633333333333 44.76 21.5 41.29 752.433333333333 410
"124" 22 42.4333333333333 20.79 44.8333333333333 765.05 60
"125" 19.1 35.79 19.7 34.16 760.6 90
"126" 20.2 39.29 21.2 37.1633333333333 753.35 120
"127" 23.272 32.678 23.89 33.56 761.366666666667 90
"128" 21.2 34.6633333333333 20.1 37.26 759.6 80
"129" 25.39 37.134 24.7 40.7 756.15 470
"130" 23.1 39.9 24.2 39.8633333333333 758.05 80
"131" 19.29 42.4633333333333 19.2 40.8666666666667 744.633333333333 110
"132" 18.2 39.7 21.1 35.29 750.35 60
"133" 22.5 41.59 23.4266666666667 41.4633333333333 759.55 100
"134" 20.29 42 21.6 38.5 750.6 50
"135" 20 44.59 21.26 44.1633333333333 752.633333333333 40
"136" 20.5 34.2 21 33.6266666666667 769.116666666667 40
"137" 21.2 37.7966666666667 20 39.6266666666667 755.5 120
"138" 19.6 38.9 20.29 37.2675 758.35 140
"139" 19.2 44.9 18.89 46.73 757.366666666667 60
"140" 19.89 39.6633333333333 22.245 37.29 759.566666666667 60
"141" 22.3233333333333 35.29 22.89 34.156 759.516666666667 120
"142" 19.2 38.5 20.79 33.7 762.1 80
"143" 20.4633333333333 37.7 20.89 39.26 764.7 280
"144" 20.2 41.02 18.6 41.09 740.05 80
"145" 19.2 38.5 22 32.09 759.1 60
"146" 17.79 40.2 17.6 37.1 758.05 480
"147" 19.5333333333333 33.36 20.2 32.03 751.3 80
"148" 18 36.9666666666667 19.4266666666667 33.03 759.85 40
"149" 20.1 39.9666666666667 20.1333333333333 37 761.3 80
"150" 19.5666666666667 36.59 19.9266666666667 35.3266666666667 771.5 70
"151" 17.79 38.76 17.89 37.26 755.666666666667 60
"152" 19.5 43 17.7 47.2 765.333333333333 20
"153" 19.7 41.73 21.2 38.3633333333333 756.2 60
"154" 19.9966666666667 42.1566666666667 21.79 38.29 762 40
"155" 20.1 39.4 21.2 37.26 753.516666666667 120
"156" 17.29 36.5 18 36.9 764.3 50
"157" 20.1333333333333 43.5 19.7 45.9 758.5 40
"158" 20.39 40 19.89 38.4 756.9 70
"159" 17.39 39.4 17.5 38.29 759.066666666667 30
"160" 20.96 40.56 20.7 39.5666666666667 754.6 440
"161" 23.4633333333333 40.6566666666667 23.29 41.53 751.45 70
"162" 18.39 40 20.8933333333333 37.6633333333333 744.1 60
"163" 19.39 41.73 20.5333333333333 40.03 754.55 110
"164" 17 39.76 19.5 33.9 768.4 50
"165" 19 37.9 19.6 36.3633333333333 743.2 40
"166" 19.1666666666667 36.8266666666667 18.6 35.845 755.3 60
"167" 20 43.9333333333333 21.8266666666667 43.5 753.766666666667 70
"168" 20.8328571428571 37.4428571428571 20 35.0225 748.9 50
"169" 17.79 38.3266666666667 20.245 34.7225 755.383333333333 50
"170" 20.89 43.1266666666667 19 40.9333333333333 746.883333333333 80
"171" 17.8566666666667 44.3333333333333 21.6 36.2071428571429 761.366666666667 50
"172" 18.125 43.975 20.39 38.4333333333333 754.066666666667 60
"173" 21.39 41.56 20.89 39.1266666666667 754.6 100
"174" 19.1333333333333 40.9 19.6333333333333 41.03 756.733333333333 520
"175" 20.5 40.99 20.3566666666667 42.1266666666667 753.633333333333 70
"176" 18.89 46.2 19.6 42.59 751.75 40
"177" 18.39 43.79 18.7 44.2 750.8 50
"178" 21.8233333333333 39.76 22.1 38.79 750.7 130
"179" 19.4633333333333 38.3 21.0333333333333 34.2266666666667 756.866666666667 100
"180" 18.2 39.245 21.6 32.5 758.266666666667 50
"181" 25.1 46.6685714285714 25.5 44.356 744.116666666667 120
"182" 18.1 39.8633333333333 18.9566666666667 37 748 80
"183" 22.73 43.53 20.89 48.1633333333333 764.466666666667 100
"184" 19 45.5 18.7 47.09 757.466666666667 40
"185" 19.29 44.2 19.7 40.59 749.7 50
"186" 21.2 43.53 20.79 45.79 764.933333333333 40
"187" 20.6 39.3266666666667 22.5 35.2 756.933333333333 50
"188" 21.8566666666667 43.09 21.29 44.9333333333333 749.3 80
"189" 17.7 39.3966666666667 19.5333333333333 34.4666666666667 754.45 70
"190" 17.5 40.09 20.29 33 766 60
